Ace Ventura - When Nature Calls:	 33, 72
Batman & Robin:	 10, 16
Batman Forever:	 39, 32
Happy Gilmore:	 60, 85
Picture Perfect:	 48, 37
The Nightmare Before Christmas:	 95, 91
Invaders from Mars:	 36, 32
Little Women:	 91, 84
Men in Black:	 92, 79
The Shawshank Redemption:	 91, 98
The Lost Boys:	 74, 85
Casino:	 79, 93
Blazing Saddles:	 90, 91
Assassins:	 15, 44
Interview with the Vampire:	 62, 86
Police Academy:	 39, 64
Basic Instinct:	 54, 63
Hellraiser:	 68, 73
The Craft:	 50, 65
Desperado:	 63, 79
Lethal Weapon 2:	 83, 77
Lethal Weapon 3:	 58, 61
A Little Princess:	 97, 88
Together:	 90, 89
Love and Other Catastrophes:	 47, 72
Blush (Hong fen):	 50, n/a
101 Dalmatians:	 37, 40
Dead Poets Society:	 84, 92
Lost in Space:	 27, 24
The River Wild:	 56, 51
Made in America:	 29, 30
Young Frankenstein:	 93, 92
The Santa Clause:	 74, 65
Airport 1975:	 29, 37
Airport '77:	 43, 32
Small Soldiers:	 48, 44
Dangerous Beauty:	 70, 85
L.A. Confidential:	 99, 94
Sliding Doors:	 62, 77
Jackie Brown:	 86, 85
Face/Off:	 92, 82
Fear and Loathing in Las Vegas:	 49, 89
The Negotiator:	 75, 79
Eraser:	 35, 39
Pulp Fiction:	 94, 96
Spawn:	 18, 36
Copycat:	 76, 64
Boogie Nights:	 93, 89
Kama Sutra: A Tale of Love:	 40, 71
Richard Pryor---Live in Concert:	 91, 93
To Kill A Mockingbird:	 91, 92
The Devil's Advocate:	 66, 79
Our Hospitality:	 96, 90
The Canterbury Tales:	 63, 63
Photographing Fairies:	 82, 74
I Went Down:	 84, 87
Little Men:	 14, 76
Twentyfourseven:	 35, 81
The Rugrats Movie:	 59, 50
Practical Magic:	 20, 73
The Waterboy:	 35, 71
The Power of One:	 39, 87
*batteries not included:	 60, 64
Always:	 65, 60
The Truman Show:	 94, 89
Antz:	 94, 52
How to Make an American Quilt:	 61, 63
Spy Hard:	 8, 31
Ghostbusters 2:	 53, 61
Ghostbusters (1984 Original):	 97, 88
Double Dragon:	 8, 25
The Flintstones:	 22, 24
Gremlins:	 84, 78
Jaws: The Revenge:	 0, 14
The Little Rascals:	 23, 70
Monty Python's Life of Brian:	 97, 93
Blade:	 54, 78
